METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","ackley",5,1,1580,76,0.000520,0.050000
"DEbest","ackley",5,1,1600,77,0.000390,0.050000
"DEbest","ackley",5,1,1620,78,0.000390,0.050000
"DEbest","ackley",5,1,1640,79,0.000258,0.050000
"DEbest","ackley",5,1,1660,80,0.000258,0.050000
"DEbest","ackley",5,1,1680,81,0.000258,0.050000
"DEbest","ackley",5,1,1700,82,0.000231,0.050000
"DEbest","ackley",5,1,1720,83,0.000205,0.050000
"DEbest","ackley",5,1,1740,84,0.000151,0.050000
"DEbest","ackley",5,1,1760,85,0.000151,0.050000
"DEbest","ackley",5,1,1780,86,0.000144,0.050000
"DEbest","ackley",5,1,1800,87,0.000140,0.050000
"DEbest","ackley",5,1,1820,88,0.000036,0.050000
"DEbest","ackley",5,1,1840,89,0.000036,0.050000
"DEbest","ackley",5,1,1860,90,0.000036,0.050000
"DEbest","ackley",5,1,1880,91,0.000036,0.050000
"DEbest","ackley",5,1,1900,92,0.000036,0.050000
"DEbest","ackley",5,1,1920,93,0.000036,0.050000
"DEbest","ackley",5,1,1940,94,0.000027,0.050000
"DEbest","ackley",5,1,1960,95,0.000014,0.050000
"DEbest","ackley",5,1,1980,96,0.000014,0.050000
"DEbest","ackley",5,1,2000,97,0.000014,0.060000
"DEbest","ackley",5,2,80,1,14.704783,0.000000
"DEbest","ackley",5,2,100,2,11.796021,0.000000
"DEbest","ackley",5,2,120,3,11.796021,0.000000
"DEbest","ackley",5,2,140,4,11.796021,0.000000
"DEbest","ackley",5,2,160,5,9.436782,0.010000
"DEbest","ackley",5,2,180,6,9.436782,0.010000
"DEbest","ackley",5,2,200,7,9.192683,0.010000
"DEbest","ackley",5,2,220,8,8.625093,0.010000
"DEbest","ackley",5,2,240,9,5.579967,0.010000
"DEbest","ackley",5,2,260,10,5.579967,0.010000
"DEbest","ackley",5,2,280,11,5.579967,0.010000
"DEbest","ackley",5,2,300,12,5.579967,0.010000
"DEbest","ackley",5,2,320,13,5.285683,0.010000
"DEbest","ackley",5,2,340,14,3.547400,0.010000
"DEbest","ackley",5,2,360,15,3.547400,0.010000
"DEbest","ackley",5,2,380,16,3.547400,0.010000
"DEbest","ackley",5,2,400,17,3.462149,0.010000
"DEbest","ackley",5,2,420,18,3.237361,0.010000
"DEbest","ackley",5,2,440,19,3.237361,0.010000
"DEbest","ackley",5,2,460,20,3.237361,0.010000
"DEbest","ackley",5,2,480,21,3.237361,0.010000
"DEbest","ackley",5,2,500,22,2.842301,0.010000
"DEbest","ackley",5,2,520,23,2.120093,0.010000
"DEbest","ackley",5,2,540,24,1.487994,0.010000
"DEbest","ackley",5,2,560,25,1.487994,0.010000
"DEbest","ackley",5,2,580,26,1.487994,0.010000
"DEbest","ackley",5,2,600,27,1.260194,0.010000
"DEbest","ackley",5,2,620,28,1.260194,0.010000
"DEbest","ackley",5,2,640,29,1.020070,0.010000
"DEbest","ackley",5,2,660,30,0.591712,0.010000
"DEbest","ackley",5,2,680,31,0.591712,0.010000
"DEbest","ackley",5,2,700,32,0.332113,0.010000
"DEbest","ackley",5,2,720,33,0.153753,0.010000
"DEbest","ackley",5,2,740,34,0.153753,0.010000
"DEbest","ackley",5,2,760,35,0.153753,0.010000
"DEbest","ackley",5,2,780,36,0.153753,0.010000
"DEbest","ackley",5,2,800,37,0.140913,0.010000
"DEbest","ackley",5,2,820,38,0.084796,0.010000
"DEbest","ackley",5,2,840,39,0.084796,0.010000
"DEbest","ackley",5,2,860,40,0.084796,0.010000
"DEbest","ackley",5,2,880,41,0.052734,0.020000
"DEbest","ackley",5,2,900,42,0.052734,0.020000
"DEbest","ackley",5,2,920,43,0.049108,0.020000
"DEbest","ackley",5,2,940,44,0.049108,0.020000
"DEbest","ackley",5,2,960,45,0.034349,0.020000
